"Review.."	"Brand"	"Variety"	"Style"	"Country"	"Stars"	"Top.Ten"
2432	"Fashion Food"	"Yummy Spicy Rice Soup With Seafood"	"Bowl"	"Thailand"	3.5	"None"
2431	"Dream Kitchen"	"Udon Japanese Style Fresh Noodle"	"Bowl"	"USA"	3.75	"None"
2430	"MyKuali"	"MeeKuali Bihun Sup Rempah Perisa Daging"	"Pack"	"Malaysia"	5	"None"
2429	"New Touch"	"T's Restaurant Sura Tanmen"	"Cup"	"Japan"	4	"None"
2428	"TTL"	"Sesame Oil Chicken With Rice Wine Noodle"	"Bowl"	"Taiwan"	5	"None"
2427	"Ajinatori"	"HALAL Chicken Shoyu Sauce Ramen"	"Pack"	"Japan"	2.5	"None"
2426	"Dr. McDougall's"	"Vegan Pad Thai Noodle Soup"	"Cup"	"USA"	0	"None"
2425	"Nissin"	"Seafood Flavour Rice Vermicelli"	"Cup"	"Hong Kong"	5	"None"
2424	"Samyang Foods"	"Cheese Type Buldak Bokkeummyun (Black Pkg)"	"Pack"	"South Korea"	3.75	"None"
2423	"Ve Wong"	"Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor"	"Pack"	"Taiwan"	3.5	"None"
2422	"Nissin"	"Cup Noodles Sopa Nissin Con Camaron Picante"	"Cup"	"Mexico"	3.25	"None"
2421	"Uni-President"	"Baseball Snack Noodle"	"Pack"	"Taiwan"	5	"None"
2420	"Nissin"	"Cup Noodles Spicy Seafood Flavor"	"Cup"	"China"	3.75	"None"
2419	"MyKuali"	"Penang Red Tom Yum Goong"	"Box"	"Japan"	5	"None"
2418	"Myojo"	"Yomise No Yakisoba Karashi Mentaiko Flavor"	"Tray"	"Japan"	4.5	"None"
2417	"Super Bihun"	"Bihun Kuah Rasa Baso Sapi"	"Pack"	"Indonesia"	3.75	"None"
2416	"Xiuhe"	"Hot & Sour Beef Noodles"	"Bowl"	"China"	4.25	"None"
2415	"Nissin"	"Kitsune Udon Donbei (West)"	"Bowl"	"Japan"	5	"None"
2414	"Little Cook"	"Thailand Green Curry Instant Noodle"	"Bowl"	"Taiwan"	5	"None"
2413	"Nissin"	"Cup Noodles Beef Flavour"	"Cup"	"Hong Kong"	2.5	"None"
2412	"Shirakiku"	"Sanukiya Udon Shrimp Flavor"	"Pack"	"USA"	3.25	"None"
2411	"Mama Pat's"	"Chicken Fajita Flavor Instant Ramen Noodles"	"Pack"	"USA"	3.75	"None"
2410	"Mama Pat's"	"Lamb Stew Flavor Instant Ramen Noodles"	"Pack"	"USA"	3.75	"None"
2409	"Mama Pat's"	"Seafood Gumbo Flavor Instant Ramen Noodles"	"Pack"	"USA"	3.5	"None"
2408	"Mama Pat's"	"Chicken Taco Flavor Instant Ramen Noodles"	"Pack"	"USA"	3.75	"None"
2407	"Just Way"	"Chuan Wei Spicy Guan-miao Noodles"	"Pack"	"Taiwan"	4.5	"None"
2406	"Sichuan Guangyou"	"Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor"	"Pack"	"China"	0.25	"None"
2405	"Nissin"	"Cup Noodles Mini Spicy Seafood"	"Cup"	"Hong Kong"	4	"None"
2404	"MyKuali"	"Penang Hokkien Prawn Noodle Soup"	"Pack"	"Singapore"	5	"None"
2403	"Goku-Uma"	"Yakisoba Japanese Style Noodle"	"Bowl"	"USA"	4.75	"None"
2402	"Maggi"	"Nutri-licious Pazzta Tomato Twist"	"Pack"	"India"	3.75	"None"
2401	"Sichuan Baijia"	"Chongqing Noodles Burning Dry Noodles"	"Bowl"	"China"	5	"None"
2400	"Nissin"	"Cup Noodles Tom Yam Seafood Flavour"	"Cup"	"Singapore"	5	"None"
2399	"Indomie"	"My Noodles Mi Goreng Pizza Cheese"	"Pack"	"Indonesia"	4	"None"
2398	"Liang Cheng Mai"	"Shaanxi Cold Noodle: Mustard Spicy"	"Tray"	"China"	1	"None"
2397	"Samyang Foods"	"Cheese Buldak Bokkeummyun (Black)"	"Bowl"	"South Korea"	4	"None"
2396	"Maggi"	"2 Minute Noodles Chicken Flavour"	"Pack"	"Fiji"	3.25	"None"
2395	"Master Kong"	"Chicken Flavor Instant Noolde"	"Pack"	"China"	4.25	"None"
2394	"Nissin"	"Cup Noodles Prawn Flavour"	"Cup"	"Hong Kong"	3.75	"None"
2393	"Ripe'n'Dry"	"Hokkaido Miso Ramen"	"Pack"	"Japan"	3	"None"
2392	"MyKuali"	"Penang Red Tom Yum Goong Rice Vermicelli Soup"	"Bowl"	"Malaysia"	5	"None"
2391	"Ottogi"	"Jin Jjambbong Spicy Seafood Ramyun"	"Pack"	"South Korea"	5	"None"
2390	"Nissin"	"Rice Vermicelli Pickled Vegetable Pork Flavour"	"Cup"	"Hong Kong"	3.75	"None"
2389	"Gefen"	"Imitation Chicken Flavor"	"Cup"	"USA"	4	"None"
2388	"Hua Feng"	"Three Fresh Delicacies Instant Noodle"	"Pack"	"China"	4.25	"None"
2387	"Nissin"	"Demae Iccho Sesame Oil Flavour Instant Noodle"	"Bowl"	"Hong Kong"	3.5	"None"
2386	"Maggi"	"2 Minute Noodles Curry Flavour"	"Pack"	"Fiji"	4	"None"
2385	"Uni-President"	"Man Han Feast Chilli Beef Flavor Instant Noodles"	"Bowl"	"Taiwan"	4.75	"None"
2384	"Sichuan Guangyou"	"9999 Chongqing Artificial Beef Flavor Instant Noodle"	"Pack"	"China"	4.25	"None"
2383	"Nissin"	"Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe)"	"Cup"	"USA"	3.5	"None"
2382	"Nongshim"	"Seaweed Instant Noodle"	"Cup"	"South Korea"	0.5	"None"
2381	"Nissin"	"Demae Iccho Seafood Flavour Instant Noodle"	"Cup"	"Hong Kong"	4.75	"None"
2380	"Pulmuone"	"Non-Fried Ramyun With Spicy Beef Broth"	"Pack"	"South Korea"	3.75	"None"
2379	"Nissin"	"Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe)"	"Cup"	"USA"	2.5	"None"
2378	"Sau Tao"	"Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured"	"Pack"	"Hong Kong"	4.5	"None"
2377	"MyKuali"	"Penang White Curry Instant Noodle (Japan Version)"	"Box"	"Malaysia"	5	"None"
2376	"Nissin"	"Disney Cuties Instant Chicken With Corn Flavour"	"Cup"	"Thailand"	3.25	"None"
2375	"Uni-President"	"Man Han Feast Braised Pork Flavor Instant Noodles"	"Bowl"	"Taiwan"	5	"None"
2374	"World O' Noodle"	"Mi Goreng Garlic Flavour Fried Noodles"	"Pack"	"Indonesia"	4.5	"None"
2373	"Nissin"	"Top Ramen Atta Nooldes Masala"	"Pack"	"India"	4.5	"None"
2372	"Liu Quan"	"Instant Spicy Rice Noodle"	"Bowl"	"China"	4	"None"
2371	"Daikoku"	"Tanuki Soba"	"Cup"	"Japan"	3.5	"None"
2370	"Samyang Foods"	"Zzaldduck Buldak Bokkeummyun Snack"	"Pack"	"South Korea"	4.5	"None"
2369	"Samyang Foods"	"Curry Buldak Bokkeummyun"	"Pack"	"South Korea"	4.25	"None"
2368	"Samyang Foods"	"Cool/Ice Buldak Bokkeummyun"	"Pack"	"South Korea"	3.75	"None"
2367	"Samyang Foods"	"2x Spicy Haek Buldak Bokkeummyun"	"Pack"	"South Korea"	4	"None"
2366	"Samyang Foods"	"Buldak Bokkeummyun Snack"	"Pack"	"South Korea"	5	"None"
2365	"Samyang Foods"	"Stew Buldak Bokkeumtangmyun"	"Pack"	"South Korea"	5	"None"
2364	"Samyang Foods"	"Cheese Buldak Bokkeummyun"	"Pack"	"South Korea"	4	"None"
2363	"Samyang Foods"	"Buldak Bokkeummyun (New Packaging)"	"Pack"	"South Korea"	4	"None"
2362	"Chuan Wei Wang"	"Bowl Instant Noodles Artificial Spicy Beef Flavor"	"Bowl"	"China"	4	"None"
2361	"Nissin"	"Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle)"	"Bowl"	"Hong Kong"	5	"None"
2360	"Wai Wai"	"Instant Noodles Artificial Chicken Flavoured"	"Pack"	"India"	2	"None"
2359	"Daikoku"	"Kitsune Udon"	"Cup"	"Japan"	2	"None"
2358	"Sichuan Baijia"	"Pickled Cabbage Flavor Instant Vermicelli"	"Bowl"	"China"	4	"None"
2357	"Kamfen"	"Noodle King Artificial Wonton Soup Flavored"	"Bowl"	"Hong Kong"	5	"None"
2356	"Nongshim"	"Spicy Shrimp Cup Noodle"	"Cup"	"South Korea"	4	"None"
2355	"Marutai"	"Nagasaki Agodashi Shoyu Ramen"	"Pack"	"Japan"	4	"None"
2354	"Vifon"	"Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli"	"Bowl"	"Vietnam"	5	"None"
2353	"Nissin"	"Cup Noodles Rich Garlic, Egg Yolk & Oxtail"	"Cup"	"Japan"	4	"None"
2352	"Uni-President"	"Minced Pork Flavor Instant Noodles"	"Pack"	"Taiwan"	1	"None"
2351	"1 To 3 Noodles"	"Chatpat Masala"	"Pack"	"India"	4	"None"
2350	"Nissin"	"Cup Noodles BIG XO Sauce Seafood Flavour"	"Cup"	"Hong Kong"	4	"None"
2349	"Fantastic"	"Noodles Chicken & Corn Flavour"	"Cup"	"Australia"	3	"None"
2348	"Ripe'n'Dry"	"Hokkaido Salt Ramen"	"Pack"	"Japan"	3	"None"
2347	"Nissin"	"Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle)"	"Bowl"	"Hong Kong"	3	"None"
2346	"Knorr"	"Chatt Patta Instant Noodles"	"Pack"	"Pakistan"	1	"None"
2345	"Sempio"	"Clam Flavor Soup Kal-guksu"	"Pack"	"South Korea"	5	"None"
2344	"Nissin"	"Cup Noodles Sopa Nissin Sabor A Pollo"	"Cup"	"Mexico"	4	"None"
2343	"Nissin"	"Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne"	"Cup"	"Mexico"	4	"None"
2342	"Nissin"	"Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen"	"Pack"	"Mexico"	4	"None"
2341	"Nissin"	"Cup Noodles Sopa Nissin Sabor A Carne De Res"	"Cup"	"Mexico"	4	"None"
2340	"Nissin"	"RapiFideo Sabor A Tomate Y Pollo"	"Cup"	"Mexico"	4	"None"
2339	"Nissin"	"Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon"	"Cup"	"Mexico"	3	"None"
2338	"Nissin"	"Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen"	"Pack"	"Mexico"	4	"None"
2337	"Nissin"	"Cup Noodles Sopa Nissin Con Camaron"	"Cup"	"Mexico"	3	"None"
2336	"Nissin"	"Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante"	"Cup"	"Mexico"	3	"None"
2335	"Nissin"	"Cup Noodles Gourmet Sabor A Caldo De Camaron"	"Cup"	"Mexico"	5	"None"
2334	"Nissin"	"Sopa Nissin Sabor Mariscos, Habanero Y Limon"	"Cup"	"Mexico"	4	"None"
2333	"Nissin"	"Maxi Sopa Nissin Cuchareable Sabor A Pollo"	"Cup"	"Mexico"	4	"None"
2332	"Nissin"	"Sopa Nissin Sabor A Res Instantanea Tipo Ramen"	"Pack"	"Mexico"	4	"None"
2331	"Nissin"	"Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo"	"Cup"	"Mexico"	4	"None"
2330	"Ve Wong"	"Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor"	"Pack"	"Taiwan"	4	"None"
2329	"Patanjali"	"Atta Noodles Jhatpat Banao Befikr Khao"	"Pack"	"India"	5	"None"
2328	"Qin Zong"	"Shaanxi Cold Noot Hot & Sour Flavor"	"Pack"	"China"	3	"None"
2327	"Nissin"	"Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe)"	"Cup"	"USA"	4	"None"
2326	"Nissin"	"Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle"	"Cup"	"Hong Kong"	4	"None"
2325	"Pran"	"Mr. Noodles Curry Flavor Instant Noodles"	"Pack"	"Bangladesh"	4	"None"
2324	"Paldo"	"Bul Jjajangmyeon"	"Pack"	"South Korea"	5	"None"
2323	"Ogasawara"	"Kirin Giraffe Shio Ramen"	"Pack"	"Japan"	5	"None"
2322	"Sapporo Ichiban"	"Mie Kamayama Ramen Gyukotsu Misoaji"	"Bowl"	"Japan"	3	"None"
2321	"Sau Tao"	"Black Pepper XO Sauce Flavour"	"Bowl"	"Hong Kong"	5	"None"
2320	"Nissin"	"Nupasta Bolognese Flavour Instant Noodle"	"Cup"	"Japan"	4	"None"
2319	"Nongshim"	"Saeutang Sabalmyeon"	"Bowl"	"South Korea"	3.5	"None"
